City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,sangmelima,2.9333,11.9833,20.74,96,5,1.64,CM,1724698779
166,taro,-8.3862,115.28,17.48,92,100,0.17,ID,1724698780
167,constantia,44.1833,28.65,24.38,68,0,5.5,RO,1724698781
168,shenjiamen,29.9576,122.298,27.54,87,15,5.2,CN,1724698782
169,harper,4.375,-7.7169,24.52,85,100,4.29,LR,1724698213
170,saint-joseph,-21.3667,55.6167,19.21,72,44,6.04,RE,1724698785
171,puerto baquerizo moreno,-0.9,-89.6,23.55,69,75,6.69,EC,1724698453
172,alesund,62.4723,6.1549,12.96,79,75,9.77,NO,1724698787
173,whitehorse,60.7161,-135.0538,10.57,68,75,2.57,CA,1724698788
174,tiksi,71.6872,128.8694,1.37,80,100,2.83,RU,1724698748
175,kyren,51.6828,102.1408,15.49,97,99,0.59,RU,1724698405
176,prince rupert,54.3161,-130.3201,12.05,100,100,3.6,CA,1724698562
177,chonchi,-42.6128,-73.8092,8.7,59,41,2.94,CL,1724698792
178,morez,46.5254,6.0259,17.86,79,3,2.27,FR,1724698794
179,plouguerneau,48.6,-4.5,17.36,83,20,4.12,FR,1724698795
180,narvik,68.4384,17.4272,12.43,95,100,2.12,NO,1724698624
181,broken hill,-31.95,141.4333,12.31,53,85,3.35,AU,1724698797
182,ola,59.5833,151.2833,10.97,91,100,4.32,RU,1724698798
183,cabo san lucas,22.8909,-109.9124,31.01,52,53,3.51,MX,1724698799
184,kahriz,34.3838,47.0553,28.04,20,0,5.14,IR,1724698800
185,longboat key,27.4125,-82.659,34.51,65,28,1.71,US,1724698802
186,vadso,70.0744,29.7487,14.09,72,0,3.09,NO,1724698421
187,korla,41.7597,86.1469,27.45,35,2,5.82,CN,1724698804
188,hohhot,40.8106,111.6522,13.16,76,0,2.0,CN,1724698805
189,plastun,44.7561,136.2939,16.06,98,100,1.12,RU,1724698806
190,mazatlan,23.2167,-106.4167,32.17,77,40,1.79,MX,1724698463
191,nelson bay,-32.7167,152.15,13.33,74,0,2.24,AU,1724698808
192,phalaborwa,-23.943,31.1411,22.88,23,0,2.79,ZA,1724698809
